,ct_mean,ct_std,el_mean,el_std,er_mean,er_std
0,0.0,0.0,100.0,0.0,-21.378406584056687,0.0
1,4.0,0.0,100.0,0.0,-17.255041467403174,0.0
2,0.0,0.0,41.0,0.0,7.339654053708498,3.9720546451956367e-16
3,2.0,0.0,100.0,0.0,-18.423820075343425,0.0
4,0.0,0.0,100.0,0.0,-23.029449287158503,0.0
5,0.0,0.0,100.0,0.0,-15.944845865566233,1.9459014222361975e-15
6,16.0,0.0,80.0,0.0,-1.2170661668541278,0.0
7,7.0,0.0,100.0,0.0,-17.430587265168985,0.0
8,0.0,0.0,100.0,0.0,-19.21679051247883,3.891802844472395e-15
9,0.0,0.0,100.0,0.0,-21.306040023849885,0.0
10,0.0,0.0,100.0,0.0,-22.69327655352917,0.0
11,0.0,0.0,100.0,0.0,-15.600447350471956,1.9459014222361975e-15
12,43.0,0.0,100.0,0.0,-15.856167847877952,7.944109290391273e-16
13,26.0,0.0,100.0,0.0,-16.605534240327763,3.891802844472395e-15
14,37.0,0.0,100.0,0.0,-16.055216823035945,0.0
15,22.0,0.0,100.0,0.0,-19.404905435003425,0.0
16,21.0,0.0,100.0,0.0,-17.48637427869565,0.0
17,21.0,0.0,100.0,0.0,-18.58362055931464,0.0
18,43.0,0.0,100.0,0.0,-20.64622031756728,0.0
19,17.0,0.0,100.0,0.0,-21.01540755033744,0.0
20,19.0,0.0,100.0,0.0,-21.82301870499802,0.0
21,49.0,0.0,100.0,0.0,-17.208520004321983,0.0
22,0.0,0.0,19.0,0.0,10.98419291612767,0.0
23,0.0,0.0,31.0,0.0,8.815958011363104,1.9459014222361975e-15
24,0.0,0.0,33.0,0.0,8.255536187046458,0.0
25,19.0,0.0,90.0,0.0,-2.814801215007257,0.0
26,24.0,0.0,100.0,0.0,-18.65998313632952,0.0
27,15.0,0.0,100.0,0.0,-16.800907208133218,3.891802844472395e-15
28,14.0,0.0,100.0,0.0,-23.633816904159048,0.0
29,32.0,0.0,100.0,0.0,-21.38527616608136,3.891802844472395e-15
