#{"t_start": 1632428674.5000808, "env_id": "PandaRlEnvironmentPush-v0"}
r,l,t
100.828543,66,21367.461724
99.199206,20,21399.799845
-37.980845,29,21443.470676
-19.565856,99,21569.847828
117.540322,21,21601.909438
-16.666955,100,21736.694142
116.239805,50,21810.661906
-44.801361,98,21932.415648
125.305816,17,21956.067186
100.24853,20,21992.229847
100.210417,20,22027.889452
-13.452474,100,22158.415591
113.36422,22,22193.588545
-38.345387,27,22238.2987
117.903522,19,22274.470677
-17.618035,100,22422.006348
117.633695,21,22458.473908
99.605171,71,22552.185278
100.061607,36,22606.331135
-34.025806,53,22671.550365
115.206105,16,22701.472062
99.95684,39,22753.159863
102.278104,24,22790.853712
98.079141,45,22848.983998
101.233074,23,22883.129625
-61.953442,40,22931.759671
30.472415,100,23065.13926
-30.465909,97,23196.455683
124.526265,29,23235.178526
98.583364,42,23282.200927
101.463294,17,23302.50071
101.55442,18,23325.895174
98.89668,24,23356.517635
98.293926,29,23394.51016
100.024214,16,23413.544795
100.571154,38,23472.320063
100.00763,51,23537.621812
99.699598,43,23588.008411
100.474662,18,23612.547769
99.465088,55,23680.868048
-53.067206,63,23807.276795
133.148551,23,23838.822473
98.237253,19,23869.205172
101.156046,19,23892.576176
99.017327,24,23920.260676
-56.374975,10,23941.127848
135.893555,54,24009.190387
100.3789,19,24030.491352
100.038011,30,24068.267594
-38.259292,49,24124.157158
118.274368,36,24170.253927
99.413731,19,24194.070632
100.060795,18,24215.714238
100.917873,31,24252.289043
-14.445577,100,24368.537209
113.861542,19,24393.547024
99.55478,40,24446.937082
101.750993,26,24478.816155
100.356379,18,24502.963004
99.323996,18,24526.140246
99.760048,20,24556.332428
100.059769,18,24577.740674
100.920108,42,24626.820812
-7.496257,100,24789.317119
-28.400111,53,24861.78915
2.918849,100,24988.53142
112.494174,20,25016.132926
99.421837,17,25038.495696
101.359216,23,25079.456308
98.685909,21,25106.143045
-34.883953,26,25139.217243
115.380575,22,25167.269044
100.015545,19,25192.938465
99.62049,22,25226.812838
99.613596,17,25246.96928
100.718939,62,25344.345628
100.201667,16,25373.388868
99.764194,18,25395.980689
99.124586,48,25468.757707
101.596656,18,25492.581037
98.012813,32,25531.732556
-43.18066,99,25666.322082
13.887341,100,25819.516862
109.520128,96,25949.349184
99.433359,18,25974.800897
102.316409,19,26000.983593
99.511345,22,26032.531169
-51.276742,75,26133.046812
131.033221,20,26162.008325
-37.513317,24,26188.341642
115.897034,45,26243.707201
100.364756,20,26270.715945
99.64611,18,26292.333399
101.78393,19,26322.817288
98.376713,46,26383.316794
100.486089,17,26409.408809
101.132684,18,26433.631989
-39.038524,89,26547.779001
-18.987624,27,26576.787041
116.404683,17,26598.844118
-8.939864,100,26726.358774
109.42537,20,26758.005256
100.25705,26,26794.911461
100.032626,23,26829.716661
99.417917,41,26880.862537
100.371953,17,26899.401785
99.949399,18,26928.452567
99.810327,18,26958.177003
99.429661,41,27013.103564
